,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
162,106.6812476,59.74854717,40.7563746,104.2299977,109.0899976,65.92487302,147.4376222
163,100.5043728,86.64955182,38.46110642,98.4499978,102.8599977,62.04326633,138.9654792
164,97.68624782,85.80004641,37.39919513,95.77999786,99.65999777,60.28705268,135.085443
165,93.06874792,86.08321488,35.65922305,90.97999797,98.86999779,57.40952487,128.727971
166,89.11249801,102.7901546,34.16843042,87.53999804,90.64999797,54.94406759,123.2809284
167,86.12562307,98.25945909,33.23621035,84.7899981,87.92999803,52.88941273,119.3618334
168,83.23374814,72.20795985,32.39362359,82.10999816,84.26999812,50.84012455,115.6273717
169,82.66374815,72.20795985,32.22803861,81.45999818,84.00999812,50.43570954,114.8917868
170,83.47124813,95.71094286,32.46264532,82.00999817,85.0599981,51.00860281,115.9338935
171,80.04624821,93.16242663,31.46763086,78.94999824,81.42999818,48.57861735,111.5138791
172,85.32124809,97.97629062,33.00163105,80.88999819,97.20999783,52.31961704,118.3228791
173,150.8749966,130.5406647,89.08090204,79.84999822,439.8799902,61.79409459,239.9558987
174,207.7056204,116.3822412,141.4710319,77.60999827,437.8799902,66.23458845,349.1766523
175,106.8437476,102.5069861,40.81517622,85.98999808,296.3699934,66.02857139,147.6589238
176,89.484373,132.522844,34.30854738,87.81999804,91.14999796,55.17582562,123.7929204
177,83.63062313,146.398099,32.50894427,81.85999817,85.85999808,51.12167886,116.1395674
178,80.11249821,126.2931376,31.48687497,78.73999824,81.44999818,48.62562324,111.5993732
179,79.79624822,116.0990727,31.39430791,76.32999829,87.35999805,48.40194031,111.1905561
180,82.80999815,66.54459045,32.27051958,80.23999821,85.0799981,50.53947856,115.0805177
181,83.38624814,62.58023187,32.43793473,81.96999817,90.26999798,50.94831341,115.8241829
182,95.02437288,85.23370947,36.3961266,86.13999807,119.2899973,58.62824628,131.4204995
183,94.68312288,92.59608969,36.26753896,91.44999796,100.5499978,58.41558392,130.9506618
184,98.17124781,92.02975275,37.58194387,89.419998,105.9099976,60.58930394,135.7531917
185,96.38374785,106.4713447,36.90837279,92.20999794,109.8399975,59.47537506,133.2921206
186,89.10687301,75.32281302,34.16630551,87.17999805,91.32999796,54.9405675,123.2731785
187,84.71687311,73.6238022,32.82537699,83.14999814,86.22999807,51.89149612,117.5422501
